title	url	description	agency
Developer Center	https://www.nzpost.co.nz/business/developer-centre		NZ Post
NZ Places Listings	http://www.zenbu.co.nz/about/xml		Zenbu
Vehicle Information	http://www.carjam.co.nz/cms/2008/12/24/carjam-api/		Carjam
Geospatial Data & APIs	https://koordinates.com		Koordinates
Event Infomation	http://www.eventfinder.co.nz/api/index		Eventfinder
Usage, Meter Readings, Account Topup	http://powershop.co.nz/developers.html		Powershop
Full API	http://developer.trademe.co.nz/		TradeMe
Full API	http://developer.xero.com/documentation/getting-started/getting-started-guide/		Xero
News RSS Feed/API	http://wellington.gen.nz/api		Wellington News
Full API	https://developers.vendhq.com/documentation		Vend
Web Services API	https://www.psoda.com/download/PsodaWebServicesReference.pdf		Psoda
API	https://developer.asb.co.nz/		ASB
