title	url	agency	description	instant_access	license	cost	format
Monthly Economic Indicators	http://cat.open.org.nz/2009/06/12/monthly-economic-indicators/	The Treasury			Crown Copyright		[xls](http://www.treasury.govt.nz/economy/mei/archive)
Motor Vehicle Registration Statistics	http://cat.open.org.nz/2009/06/27/motor-vehicle-registration-statistics/	New Zealand Transport Agency			Crown Copyright		[other](http://www.landtransport.govt.nz/statistics/motor-vehicle-registration/index.html)
National Broadband Map	http://cat.open.org.nz/2009/06/17/national-broadband-map/	State Services Commission			Crown Copyright		[other](http://broadbandmap.govt.nz/information-for-developers/)
National Climate Database	http://cat.open.org.nz/2009/07/14/national-climate-database/	National Institute of Water and Atmospheric Research Limited			Restrictive		[api](http://cliflo.niwa.co.nz/),[other](http://cliflo.niwa.co.nz/)
National Vegetation Survey (NVS) Databank	http://cat.open.org.nz/2009/06/17/national-vegetation-survey-nvs-databank/	Landcare Research New Zealand Limited			Crown Copyright		[csv](http://nvs.landcareresearch.co.nz/html/NVSdatabank.aspx),[other](http://nvs.landcareresearch.co.nz/html/NVSdatabank.aspx)
New Zealand Book Covers	http://cat.open.org.nz/2010/05/26/new-zealand-book-covers/	National Library of New Zealand Te Puna MÄ			Restrictive		[api](http://digital.natlib.govt.nz/bookcover/get/)
New Zealand Coastline	http://cat.open.org.nz/2009/08/29/new-zealand-coastline/	Other (Specify in description)			Unknown		[geo](http://www.gisuser.co.nz/html/resources/?get=data.htm)
New Zealand Debt Management Office Data	http://cat.open.org.nz/2009/06/12/new-zealand-debt-management-office-data/	The Treasury			Crown Copyright		[xls](http://www.nzdmo.govt.nz/publications/data)
New Zealand Gazetteer of Official Geographic Names	http://cat.open.org.nz/2009/06/16/new-zealand-gazetteer-of-official-geographic-names/	Land Information New Zealand			Crown Copyright		[xls](http://www.linz.govt.nz/placenames/find-names/nz-gazetteer-official-names/index.aspx),[other](http://www.linz.govt.nz/placenames/find-names/nz-gazetteer-official-names/index.aspx)
New Zealand Map Grid (NZMG) Non Geo-referenced Orthophotos	http://cat.open.org.nz/2009/08/29/new-zealand-map-grid-nzmg-non-geo-referenced-orthophotos/	Land Information New Zealand			Crown Copyright		[other](http://www.linz.govt.nz/topography/aerial-images/nzmg-non-geo/index.aspx)
New Zealand Place Names Database (Archived)	http://cat.open.org.nz/2009/07/02/new-zealand-place-names-database-archived/	Land Information New Zealand			Crown Copyright		[csv](http://www.linz.govt.nz/docs/topography/topographicdata/placenamesdatabase/nznames_6Aug08.zip)
New Zealand Transverse Mercator 2000 (NZTM2000) Geo-referenced Orthophotos	http://cat.open.org.nz/2009/08/29/index-of-new-zealand-transverse-mercator-2000-nztm2000-geo-referenced-orthophotos/	Land Information New Zealand			Crown Copyright		[geo](http://www.linz.govt.nz/topography/aerial-images/nztm-geo/index.aspx)
Note issues &amp; coin mintings	http://cat.open.org.nz/2009/08/12/note-issues-coin-mintings/	Reserve Bank of New Zealand			Unknown		[xls](http://www.rbnz.govt.nz/statistics/currency/index.html)
NZTA InfoConnect Highway Info Data	http://cat.open.org.nz/2009/06/15/nzta-infoconnect-highway-info-data/	New Zealand Transport Agency			Restrictive		[other](https://infoconnect.highwayinfo.govt.nz/opencms/opencms/InfoConnect/access.html?__loginform=true&requestedResource=%2FInfoConnect%2Ffor-developers%2F)
NZTopo Topographic Database	http://cat.open.org.nz/2009/06/17/nztopo-topographic-database/	Land Information New Zealand			Crown Copyright		
Papakura Food Premises Grading	http://cat.open.org.nz/2009/07/05/papakura-food-premises-grading/	Papakura District Council			Unknown		[other](http://www.papakura.govt.nz/foodgrading.htm)
Personal Property Securities Register	http://cat.open.org.nz/2009/06/07/personal-property-securities-register/	Ministry of Economic Development			Restrictive		[api](http://www.companies.govt.nz/cms/how-do-i/search-the-register/connect-direct/get-connected?searchterm=g2b)
Primary and Secondary Schools Directory	http://cat.open.org.nz/2009/05/27/primary-and-secondary-schools-directory/	Ministry of Education			Unknown		[xls](http://www.educationcounts.govt.nz/__data/assets/excel_doc/0014/42080/DIRECTORY_Schools_Web.xls),[csv](http://www.educationcounts.govt.nz/__data/assets/file/0017/42083/School-Directory.csv)
Public Building Consent Information – Taupo District Council	http://cat.open.org.nz/2011/02/21/public-building-consent-information-taupo-district-council/	Taupo District Council			No license		[api](http://www.taupodc.govt.nz/Council-online/Building-Consent-Search/)
Public Cemetery Information – Taupo District Council	http://cat.open.org.nz/2011/02/21/public-cemetery-information-taupo-district-council/	Taupo District Council			No license		[api](http://www.taupodc.govt.nz/Council-online/Cemetery-Search/)
Public Rating Information – Taupo District Council	http://cat.open.org.nz/2011/02/21/639/	Taupo District Council			No license		[api](http://www.taupodc.govt.nz/Council-online/Rating-Information-Search/)
Public Resource Consent Information – Taupo District Council	http://cat.open.org.nz/2011/02/21/public-resource-consent-information-taupo-district-council/	Taupo District Council			No license		[api](http://www.taupodc.govt.nz/Council-online/Resource-Consent-Search/)
Public Sector Directory	http://cat.open.org.nz/2009/06/17/public-sector-directory/	State Services Commission			Crown Copyright		[xls](https://psd.govt.nz/mailmerge/index.php),[csv](https://psd.govt.nz/mailmerge/index.php)
Register of Radio Frequencies	http://cat.open.org.nz/2009/06/07/register-of-radio-frequencies/	Ministry of Economic Development			Unknown		[other](http://www.rsm.govt.nz/cms/resource-library/spectrum-search-lite/resolveUid/4e956707f88ae5ae5ffdac076fba55bb)
Reserve Bank balance sheet	http://cat.open.org.nz/2009/08/12/reserve-bank-balance-sheet/	Reserve Bank of New Zealand			Unknown		[xls](http://www.rbnz.govt.nz/statistics/rbnz/index.html)
Rodney Food Premises Grading	http://cat.open.org.nz/2009/07/05/rodney-food-premises-grading/	Rodney District Council			Unknown		[other](http://www.rodney.govt.nz/EnvironmentalCare/serviceshealth/Pages/FoodGradingSystems.aspx)
Scanned Marine Charts	http://cat.open.org.nz/2009/06/18/scanned-marine-charts/	Land Information New Zealand			Crown Copyright		
School Zones	http://cat.open.org.nz/2009/06/04/school-zones/	Ministry of Education			Unknown		[geo](http://www.schoolzones.co.nz/)
Tax Outturn Data	http://cat.open.org.nz/2009/06/12/tax-outturn-data/	The Treasury			Crown Copyright		[xls](http://www.treasury.govt.nz/government/revenue/taxoutturn)
Tertiary Education Directory	http://cat.open.org.nz/2009/05/27/tertiary-education-directory/	Ministry of Education			Unknown		[xls](http://www.educationcounts.govt.nz/__data/assets/excel_doc/0015/42081/DIRECTORY_Tertiary_Web.xls),[csv](http://www.educationcounts.govt.nz/__data/assets/file/0018/42084/Tertiary-Directory.csv)
Tide Predictions	http://cat.open.org.nz/2009/06/18/tide-predictions/	Land Information New Zealand			Crown Copyright		
